Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms
The Now Factory,IBM,2013,02-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Think Dynamics,IBM,2003,14-05-2003,Undisclosed amount,Undisclosed,Undisclosed
Transitive,IBM,2008,18-11-2008,Undisclosed amount,Undisclosed,Undisclosed
TrelliSoft,IBM,2002,29-08-2002,Undisclosed amount,Undisclosed,Undisclosed
Trigo Technologies,IBM,2004,06-04-2004,Undisclosed amount,Undisclosed,Undisclosed
TRIRIGA,IBM,2011,14-04-2011,Undisclosed amount,Undisclosed,Undisclosed
Trusteer,IBM,2013,15-08-2013,"$800,000,000",Undisclosed,Undisclosed
Unica,IBM,2010,06-10-2010,"$480,000,000",Undisclosed,Cash
Unicorn Solutions,IBM,2006,06-06-2006,Undisclosed amount,Undisclosed,Undisclosed
Urbancode,IBM,2013,22-04-2013,Undisclosed amount,Undisclosed,Undisclosed
Valchemy,IBM,2006,30-09-2006,Undisclosed amount,Undisclosed,Stock
Vallent Corporation,IBM,2007,14-02-2007,Undisclosed amount,Undisclosed,Undisclosed
Varicent Software,IBM,2012,13-04-2012,Undisclosed amount,Undisclosed,Undisclosed
Venetica,IBM,2004,07-10-2004,Undisclosed amount,Undisclosed,Undisclosed
Viacore,IBM,2006,08-02-2006,Undisclosed amount,Undisclosed,Undisclosed
Vivisimo,IBM,2012,25-04-2012,Undisclosed amount,Undisclosed,Undisclosed
Watchfire,IBM,2007,23-07-2007,Undisclosed amount,Undisclosed,Undisclosed
Webdialogs,IBM,2007,22-08-2007,Undisclosed amount,Undisclosed,Undisclosed
Webify Solutions,IBM,2006,02-08-2006,Undisclosed amount,Undisclosed,Undisclosed
Worklight,IBM,2012,31-01-2012,"$70,000,000",Undisclosed,Undisclosed
XIV,IBM,2008,02-01-2008,"$300,000,000",Undisclosed,Undisclosed
Xtify Inc.,IBM,2013,03-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Aepona,Intel,2013,28-04-2013,"$130,000,000",Undisclosed,Undisclosed
Ambient Technologies,Intel,2000,03-02-2000,Undisclosed amount,Undisclosed,Undisclosed
Avago Technologies,Intel,2014,18-08-2014,"$650,000,000",Pending,Cash
Basis Communications,Intel,2000,21-03-2000,Undisclosed amount,Undisclosed,Undisclosed
Basis Science,Intel,2014,04-03-2014,"$100,000,000",Undisclosed,Undisclosed
CAD-UL,Intel,2001,12-03-2001,Undisclosed amount,Undisclosed,Undisclosed
Chips and Technologies,Intel,1997,27-07-1997,Undisclosed amount,Undisclosed,Cash
Cilk,Intel,2009,01-08-2009,Undisclosed amount,Undisclosed,Undisclosed
Cognet,Intel,2001,24-04-2001,Undisclosed amount,Undisclosed,Undisclosed
CognoVision,Intel,2010,15-11-2010,"$25,000,000",Undisclosed,Cash
Conformative Systems,Intel,2006,08-02-2006,Undisclosed amount,Undisclosed,Undisclosed
Corollary,Intel,1997,30-09-1997,Undisclosed amount,Undisclosed,Undisclosed
DataKinetics,Intel,2000,11-08-2000,Undisclosed amount,Undisclosed,Undisclosed
Dayna Communications,Intel,1997,29-09-1997,Undisclosed amount,Undisclosed,Undisclosed
Envara,Intel,2004,25-03-2004,Undisclosed amount,Undisclosed,Undisclosed
Ford Microelectronics,Intel,2000,27-06-2000,Undisclosed amount,Undisclosed,Undisclosed
Fulcrum Microsystems,Intel,2011,19-07-2011,Undisclosed amount,Undisclosed,Undisclosed
GIGA,Intel,2000,20-03-2000,Undisclosed amount,Undisclosed,Undisclosed
Hacker League,Intel,2013,20-11-2013,Undisclosed amount,Undisclosed,Undisclosed
Havok,Intel,2007,16-09-2007,Undisclosed amount,Undisclosed,Undisclosed
iCat,Intel,1998,03-12-1998,Undisclosed amount,Undisclosed,Undisclosed
Indisys,Intel,2013,13-09-2013,"$26,000,000",Undisclosed,Undisclosed
Infineon Technologies,Intel,2010,31-08-2010,"$1,400,000,000",Undisclosed,Undisclosed
iPivot,Intel,1999,05-10-1999,"$500,000,000",Undisclosed,Cash
Kno,Intel,2013,10-11-2013,Undisclosed amount,Undisclosed,Undisclosed
Kuck & Associates,Intel,2000,10-04-2000,Undisclosed amount,Undisclosed,Undisclosed
Level One Communications,Intel,1999,08-03-1999,Undisclosed amount,Undisclosed,Undisclosed
LightLogic,Intel,2001,29-05-2001,Undisclosed amount,Undisclosed,Undisclosed
Mashery,Intel,2013,17-04-2013,Undisclosed amount,Undisclosed,Undisclosed
McAfee,Intel,2010,19-08-2010,"$7,700,000,000",Undisclosed,Cash
Mobilian,Intel,2003,25-06-1905,Undisclosed amount,Undisclosed,Undisclosed
NetBoost,Intel,1999,01-09-1999,Undisclosed amount,Undisclosed,Undisclosed
NetEffect,Intel,2008,15-10-2008,"$8,000,000",Undisclosed,Undisclosed
Olaworks,Intel,2012,17-04-2012,"$31,000,000",Undisclosed,Cash
Omek Interactive,Intel,2013,16-07-2013,"$40,000,000",Undisclosed,Undisclosed
Opened Hand,Intel,2008,28-08-2008,Undisclosed amount,Undisclosed,Undisclosed
Oplus Technologies,Intel,2005,25-02-2005,Undisclosed amount,Undisclosed,Undisclosed
Parity Software Development,Intel,1999,15-11-1999,Undisclosed amount,Undisclosed,Undisclosed
Picazo Communications,Intel,2000,10-04-2000,Undisclosed amount,Undisclosed,Undisclosed
RapidMind,Intel,2009,19-08-2009,Undisclosed amount,Undisclosed,Cash
Sarvega,Intel,2005,17-08-2005,Undisclosed amount,Undisclosed,Undisclosed
Sensory Networks,Intel,2013,30-09-2013,"$20,000,000",Undisclosed,Undisclosed
Shiva Corporation,Intel,1998,26-10-1998,Undisclosed amount,Undisclosed,Undisclosed
Softcom Microsystems,Intel,1999,12-07-1999,Undisclosed amount,Undisclosed,Undisclosed
Sparkolor Corporation,Intel,2002,17-09-2002,Undisclosed amount,Undisclosed,Undisclosed
Swiftfoot Graphics AB,Intel,2009,01-02-2009,Undisclosed amount,Undisclosed,Undisclosed
SySDSoft,Intel,2011,14-03-2011,Undisclosed amount,Undisclosed,Undisclosed
Thinkit Technologies,Intel,2000,07-02-2000,Undisclosed amount,Undisclosed,Undisclosed
Virtutech,Intel,2010,05-02-2010,Undisclosed amount,Undisclosed,Undisclosed
Voice Technologies,Intel,2000,22-06-1905,Undisclosed amount,Undisclosed,Undisclosed
VxTel,Intel,2001,05-03-2001,Undisclosed amount,Undisclosed,Undisclosed
West Bay Semiconductor,Intel,2003,08-07-2003,Undisclosed amount,Undisclosed,Undisclosed
Whamcloud,Intel,2012,13-07-2012,Undisclosed amount,Undisclosed,Undisclosed
Wind River,Intel,2009,17-07-2009,"$884,000,000",Undisclosed,Stock
Xircom,Intel,2001,15-01-2001,"$748,000,000",Undisclosed,Undisclosed
XLNT,Intel,1999,21-06-1905,Undisclosed amount,Undisclosed,Undisclosed
Ziatech,Intel,2000,15-08-2000,Undisclosed amount,Undisclosed,Undisclosed
eVoice,J2 Global Communications,2004,15-06-2004,Undisclosed amount,Undisclosed,Undisclosed
Emurse,AOL,2009,19-04-2009,Undisclosed amount,Complete,Cash
Altor Networks,Juniper Networks,2010,06-12-2010,"$95,000,000",Undisclosed,Cash
Ankeena Networks,Juniper Networks,2010,08-04-2010,Undisclosed amount,Undisclosed,Undisclosed
Blackwave,Juniper Networks,2010,18-11-2010,Undisclosed amount,Undisclosed,Undisclosed
Contrail Systems,Juniper Networks,2012,13-12-2012,"$176,000,000",Complete,"Cash, Stock"
Kagoor Networks,Juniper Networks,2005,29-03-2005,"$67,500,000",Undisclosed,Cash
Mykonos Software,Juniper Networks,2012,22-02-2012,"$80,000,000",Undisclosed,Cash
NetScreen Technologies,Juniper Networks,2004,01-02-2004,"$3,400,000,000",Undisclosed,Undisclosed
SMobile Systems,Juniper Networks,2010,27-07-2010,Undisclosed amount,Undisclosed,Undisclosed
Trapeze Networks,Juniper Networks,2010,01-11-2010,"$152,000,000",Undisclosed,Cash
Wandl,Juniper Networks,2013,16-12-2013,"$60,000,000",Undisclosed,Undisclosed
Motorola Mobility,Lenovo,2014,29-01-2014,"$2,900,000,000",Undisclosed,"Cash, Stock"
Bizo,LinkedIn,2014,22-07-2014,"$175,000,000",Undisclosed,"Cash, Stock"
Bright.com,LinkedIn,2014,06-02-2014,"$120,000,000",Undisclosed,"Cash, Stock"
CardMunch,LinkedIn,2011,26-01-2011,Undisclosed amount,Undisclosed,Undisclosed
ChoiceVendor,LinkedIn,2010,22-09-2010,"$5,000,000",Undisclosed,Cash
Connected,LinkedIn,2011,05-10-2011,Undisclosed amount,Undisclosed,Undisclosed
IndexTank,LinkedIn,2011,11-10-2011,Undisclosed amount,Undisclosed,Undisclosed
mSpoke,LinkedIn,2010,04-08-2010,Undisclosed amount,Undisclosed,Undisclosed
Newsle,LinkedIn,2014,14-07-2014,Undisclosed amount,Complete,Undisclosed
Pulse,LinkedIn,2013,13-04-2013,"$90,000,000",Undisclosed,Undisclosed
Rapportive,LinkedIn,2012,07-02-2012,"$15,000,000",Undisclosed,Undisclosed
SlideShare,LinkedIn,2012,03-05-2012,"$119,000,000",Undisclosed,"Cash, Stock"
TrustHop,LinkedIn,2012,04-07-1905,Undisclosed amount,Undisclosed,Undisclosed
90 Degree Software,Microsoft,2008,14-03-2008,Undisclosed amount,Undisclosed,Undisclosed
ActiveViews,Microsoft,2004,26-04-2004,Undisclosed amount,Undisclosed,Undisclosed
AdECN,Microsoft,2007,26-07-2007,Undisclosed amount,Undisclosed,Undisclosed
Alacris,Microsoft,2005,19-09-2005,Undisclosed amount,Undisclosed,Undisclosed
Altamira Software,Microsoft,1994,28-09-1994,Undisclosed amount,Undisclosed,Undisclosed
Apiphany,Microsoft,2013,04-10-2013,Undisclosed amount,Undisclosed,Cash
Apptimum,Microsoft,2006,07-03-2006,Undisclosed amount,Undisclosed,Undisclosed
aQuantive,Microsoft,2007,18-05-2007,"$6,400,000,000",Undisclosed,Cash
Aspect Software Engineering,Microsoft,1996,23-04-1996,Undisclosed amount,Undisclosed,Undisclosed
AssetMetrix Corporation,Microsoft,2006,26-04-2006,Undisclosed amount,Undisclosed,Undisclosed
AVIcode,Microsoft,2010,06-10-2010,Undisclosed amount,Undisclosed,Undisclosed
Azyxxi,Microsoft,2006,26-07-2006,Undisclosed amount,Undisclosed,Undisclosed
BigPark,Microsoft,2009,07-05-2009,Undisclosed amount,Undisclosed,Undisclosed
Blue Ribbon SoundWorks,Microsoft,1995,17-10-1995,Undisclosed amount,Undisclosed,Undisclosed
Bruce Artwick Organization,Microsoft,1995,12-12-1995,Undisclosed amount,Undisclosed,Undisclosed
Bungie Software,Microsoft,2000,19-06-2000,Undisclosed amount,Undisclosed,Undisclosed
Caligari Corporation,Microsoft,2008,07-02-2008,Undisclosed amount,Undisclosed,Undisclosed
Calista Technologies,Microsoft,2008,21-01-2008,Undisclosed amount,Undisclosed,Undisclosed
Canesta,Microsoft,2010,29-10-2010,Undisclosed amount,Undisclosed,Undisclosed
Capptain,Microsoft,2014,28-05-2014,Undisclosed amount,Complete,Undisclosed
Colloquis,Microsoft,2006,12-10-2006,Undisclosed amount,Undisclosed,Undisclosed
Colusa Software,Microsoft,1996,12-03-1996,Undisclosed amount,Undisclosed,Undisclosed
CompareNet,Microsoft,1999,04-03-1999,Undisclosed amount,Undisclosed,Undisclosed
Connectix,Microsoft,2003,19-02-2003,Undisclosed amount,Undisclosed,Undisclosed
Consumers Software,Microsoft,1991,31-03-1991,Undisclosed amount,Undisclosed,Undisclosed
Cooper & Peters,Microsoft,1997,13-06-1997,Undisclosed amount,Undisclosed,Undisclosed
Credentica,Microsoft,2008,08-03-2008,Undisclosed amount,Undisclosed,Cash
Danger,Microsoft,2008,11-02-2008,"$500,000,000",Undisclosed,Cash
DATAllegro,Microsoft,2008,25-07-2008,Undisclosed amount,Undisclosed,Undisclosed
DeepMetrix,Microsoft,2006,09-05-2006,Undisclosed amount,Undisclosed,Undisclosed
DesktopStandard,Microsoft,2006,04-10-2006,Undisclosed amount,Undisclosed,Undisclosed
devBiz Business Solutions,Microsoft,2007,28-03-2007,Undisclosed amount,Undisclosed,Undisclosed
Electric Gravity,Microsoft,1996,17-06-1996,Undisclosed amount,Undisclosed,Undisclosed
Engyro,Microsoft,2007,04-06-2007,Undisclosed amount,Undisclosed,Undisclosed
Entropic,Microsoft,1999,01-11-1999,Undisclosed amount,Undisclosed,Undisclosed
eShop,Microsoft,1996,11-06-1996,Undisclosed amount,Undisclosed,Undisclosed
Exos,Microsoft,1996,16-04-1996,Undisclosed amount,Undisclosed,Undisclosed
Farecast,Microsoft,2008,17-04-2008,"$115,000,000",Undisclosed,Undisclosed
FASA Interactive,Microsoft,1999,07-01-1999,Undisclosed amount,Undisclosed,Undisclosed
Fast Search & Transfer,Microsoft,2008,08-01-2008,"$1,200,000,000",Undisclosed,Undisclosed
Firefly Network,Microsoft,1998,09-04-1998,Undisclosed amount,Undisclosed,Undisclosed
FolderShare,Microsoft,2005,03-11-2005,Undisclosed amount,Undisclosed,Undisclosed
Forethought,Microsoft,1987,29-06-1987,Undisclosed amount,Undisclosed,Undisclosed
Fox Software,Microsoft,1992,29-06-1992,Undisclosed amount,Undisclosed,Undisclosed
Frontbridge Technologies,Microsoft,2005,20-07-2005,Undisclosed amount,Undisclosed,Undisclosed
GIANT Company Software,Microsoft,2004,16-12-2004,Undisclosed amount,Undisclosed,Undisclosed
Global Care Solutions,Microsoft,2007,29-10-2007,Undisclosed amount,Undisclosed,Undisclosed
Great Plains Software,Microsoft,2000,21-12-2000,Undisclosed amount,Undisclosed,Undisclosed
GreenButton,Microsoft,2014,30-04-2014,Undisclosed amount,Complete,Undisclosed
Greenfield Online,Microsoft,2008,29-08-2008,"$486,000,000",Undisclosed,Undisclosed
Groove Networks,Microsoft,2005,10-03-2005,Undisclosed amount,Undisclosed,Undisclosed
Gteko,Microsoft,2006,26-09-2006,Undisclosed amount,Undisclosed,Undisclosed
HotMail,Microsoft,1997,31-12-1997,"$400,000,000",Undisclosed,Undisclosed
InMage Systems,Microsoft,2014,11-07-2014,Undisclosed amount,Complete,Undisclosed
InRelease,Microsoft,2013,03-06-2013,Undisclosed amount,Undisclosed,Undisclosed
Interactive Supercomputing,Microsoft,2009,22-09-2009,Undisclosed amount,Undisclosed,Undisclosed
iView Multimedia,Microsoft,2006,27-06-2006,Undisclosed amount,Undisclosed,Undisclosed
jellyfish,Microsoft,2007,03-10-2007,"$50,000,000",Undisclosed,Cash
Jump Networks,Microsoft,1999,27-04-1999,Undisclosed amount,Undisclosed,Undisclosed
Kidaro,Microsoft,2008,12-03-2008,Undisclosed amount,Undisclosed,Undisclosed
Komoku,Microsoft,2008,20-03-2008,Undisclosed amount,Undisclosed,Cash
LinkAge Software,Microsoft,1997,30-06-1997,Undisclosed amount,Undisclosed,Undisclosed
linkexchange,Microsoft,1998,05-11-1998,Undisclosed amount,Undisclosed,Undisclosed
Lionhead Studios,Microsoft,2006,06-04-2006,Undisclosed amount,Undisclosed,Undisclosed
Massive,Microsoft,2006,01-05-2006,"$200,000,000",Undisclosed,Undisclosed
Media-Streams.com,Microsoft,2005,02-11-2005,Undisclosed amount,Undisclosed,Undisclosed
Medstory,Microsoft,2007,26-02-2007,Undisclosed amount,Undisclosed,Undisclosed
MESA Group,Microsoft,1998,28-04-1998,Undisclosed amount,Undisclosed,Undisclosed
MessageCast,Microsoft,2005,11-03-2005,Undisclosed amount,Undisclosed,Undisclosed
MetricsHub,Microsoft,2013,04-03-2013,Undisclosed amount,Undisclosed,Undisclosed
MobiComp,Microsoft,2008,26-06-2008,Undisclosed amount,Undisclosed,Undisclosed
Mojang,Microsoft,2014,15-09-2014,"$15,000,000,000",Pending,Undisclosed
MongoMusic,Microsoft,2000,14-09-2000,Undisclosed amount,Undisclosed,Undisclosed
Motion Bridge,Microsoft,2006,13-02-2006,Undisclosed amount,Undisclosed,Undisclosed
MultiMap,Microsoft,2007,12-12-2007,Undisclosed amount,Undisclosed,Undisclosed
Navic Networks,Microsoft,2008,18-06-2008,Undisclosed amount,Undisclosed,Undisclosed
Navision,Microsoft,2002,07-05-2002,Undisclosed amount,Undisclosed,Undisclosed
NCompass Labs,Microsoft,2001,30-04-2001,Undisclosed amount,Undisclosed,Undisclosed
NetCarta,Microsoft,1996,10-12-1996,Undisclosed amount,Undisclosed,Undisclosed
NetGames,Microsoft,2000,12-07-2000,Undisclosed amount,Undisclosed,Undisclosed
Netwise,Microsoft,1995,06-11-1995,Undisclosed amount,Undisclosed,Undisclosed
Network Managers,Microsoft,1995,10-07-1995,Undisclosed amount,Undisclosed,Undisclosed
NextBase,Microsoft,1994,01-11-1994,Undisclosed amount,Undisclosed,Undisclosed
Numinous Technologies,Microsoft,1999,29-03-1999,Undisclosed amount,Undisclosed,Undisclosed
ODG,Microsoft,2013,30-11-2013,"$150,000,000",Undisclosed,Undisclosed
OmniBrowse,Microsoft,1999,15-06-1999,Undisclosed amount,Undisclosed,Undisclosed
One Tree Software Ltd,Microsoft,1994,15-11-1994,Undisclosed amount,Undisclosed,Undisclosed
Onfolio,Microsoft,2006,07-03-2006,Undisclosed amount,Undisclosed,Undisclosed
Opalis Software,Microsoft,2009,11-12-2009,Undisclosed amount,Undisclosed,Undisclosed
Pacific Microsonics,Microsoft,2000,18-09-2000,Undisclosed amount,Undisclosed,Undisclosed
Parature,Microsoft,2014,06-01-2014,"$100,000,000",Undisclosed,Undisclosed
Parlano,Microsoft,2007,29-08-2007,Undisclosed amount,Undisclosed,Undisclosed
Peach Networks,Microsoft,2000,29-02-2000,Undisclosed amount,Undisclosed,Undisclosed
Perceptive Pixel,Microsoft,2012,09-07-2012,Undisclosed amount,Undisclosed,Undisclosed
PhoneFactor,Microsoft,2012,04-10-2012,Undisclosed amount,Undisclosed,Undisclosed
PlaceWare,Microsoft,2003,30-04-2003,Undisclosed amount,Undisclosed,Undisclosed
Powerset,Microsoft,2008,01-07-2008,"$100,000,000",Undisclosed,Cash
ProClarity Corporation,Microsoft,2006,25-05-2006,Undisclosed amount,Undisclosed,Undisclosed
ProClarity,Microsoft,2006,03-04-2006,Undisclosed amount,Undisclosed,Cash
R2 Studios,Microsoft,2013,03-01-2013,Undisclosed amount,Undisclosed,Undisclosed
Rapt,Microsoft,2008,14-03-2008,Undisclosed amount,Undisclosed,Undisclosed
Rare,Microsoft,2002,24-09-2002,"$337,000,000",Undisclosed,Undisclosed
RenderMorphics,Microsoft,1995,23-02-1995,Undisclosed amount,Undisclosed,Undisclosed
Rosetta Biosoftware,Microsoft,2009,01-06-2009,Undisclosed amount,Undisclosed,Undisclosed
Screen Tonic,Microsoft,2007,03-05-2007,Undisclosed amount,Undisclosed,Undisclosed
SeaDragon Software,Microsoft,2006,28-01-2006,Undisclosed amount,Undisclosed,Undisclosed
Sendit,Microsoft,1999,01-07-1999,Undisclosed amount,Undisclosed,Undisclosed
Sentillion,Microsoft,2009,10-12-2009,Undisclosed amount,Undisclosed,Undisclosed
ShadowFactor Software,Microsoft,1999,07-06-1999,Undisclosed amount,Undisclosed,Undisclosed
Skype,Microsoft,2011,10-05-2011,"$8,500,000,000",Undisclosed,Cash
Softricity,Microsoft,2006,17-07-2006,Undisclosed amount,Undisclosed,Undisclosed
Softway Systems,Microsoft,1999,17-09-1999,Undisclosed amount,Undisclosed,Undisclosed
STNC,Microsoft,1999,21-07-1999,Undisclosed amount,Undisclosed,Undisclosed
StorSimple,Microsoft,2012,17-10-2012,Undisclosed amount,Undisclosed,Undisclosed
Stratature,Microsoft,2007,07-06-2007,Undisclosed amount,Undisclosed,Undisclosed
Sybari,Microsoft,2005,08-02-2005,Undisclosed amount,Undisclosed,Undisclosed
SyntaxTree,Microsoft,2014,03-07-2014,Undisclosed amount,Complete,Undisclosed
Teleo,Microsoft,2005,30-08-2005,Undisclosed amount,Undisclosed,Undisclosed
Tellme,Microsoft,2007,14-03-2007,"$800,000,000",Undisclosed,Undisclosed
Twisted Pixel Games,Microsoft,2011,12-10-2011,Undisclosed amount,Undisclosed,Undisclosed
Valence Technology,Microsoft,1998,25-08-1998,Undisclosed amount,Undisclosed,Undisclosed
Vermeer Technologies,Microsoft,1996,16-01-1996,Undisclosed amount,Undisclosed,Undisclosed
Vexcel,Microsoft,2006,04-05-2006,Undisclosed amount,Undisclosed,Undisclosed
Vicinity Corporation,Microsoft,2002,22-10-2002,"$96,000,000",Undisclosed,Cash
VideoSurf,Microsoft,2011,23-11-2011,"$100,000,000",Undisclosed,Undisclosed
Visio Corporation,Microsoft,1999,15-09-1999,Undisclosed amount,Undisclosed,Undisclosed
VXtreme,Microsoft,1997,05-08-1997,Undisclosed amount,Undisclosed,Undisclosed
WebTV Networks,Microsoft,1997,06-04-1997,Undisclosed amount,Undisclosed,Undisclosed
Whale Communications,Microsoft,2006,18-05-2006,"$75,000,000",Complete,Undisclosed
Windows Live Hotmail,Microsoft,1997,31-12-1997,Undisclosed amount,Undisclosed,Undisclosed
Winternals,Microsoft,2006,18-07-2006,Undisclosed amount,Undisclosed,Undisclosed
XDegrees,Microsoft,2002,10-09-2002,Undisclosed amount,Undisclosed,Undisclosed
YaData,Microsoft,2010,13-08-2010,"$25,000,000",Undisclosed,Cash
Yammer,Microsoft,2012,25-06-2012,"$1,200,000,000",Undisclosed,Cash
Zoomit,Microsoft,1999,07-07-1999,Undisclosed amount,Undisclosed,Undisclosed
Zoomix,Microsoft,2008,14-07-2008,"$35,000,000",Undisclosed,Cash
Hotjobs,Monster,2010,03-02-2010,"$225,000,000",Undisclosed,Cash
Amber Networks,Nokia,2001,25-07-2001,Undisclosed amount,Undisclosed,Undisclosed
Bit-side,Nokia,2009,27-01-2009,Undisclosed amount,Undisclosed,Undisclosed
Cellity,Nokia,2009,24-07-2009,Undisclosed amount,Undisclosed,Cash
Desti,Nokia,2014,30-05-2014,Undisclosed amount,Undisclosed,Undisclosed
Diamond Lane Communications,Nokia,1999,16-02-1999,Undisclosed amount,Undisclosed,Undisclosed
DiscoveryCom,Nokia,2000,08-08-2000,Undisclosed amount,Undisclosed,Undisclosed
Dopplr,Nokia,2009,28-09-2009,Undisclosed amount,Undisclosed,Undisclosed
earthmine,Nokia,2012,13-11-2012,Undisclosed amount,Undisclosed,Undisclosed
Eizel Technologies,Nokia,2003,22-04-2003,Undisclosed amount,Undisclosed,Undisclosed
Enpocket,Nokia,2007,08-10-2007,"$100,000,000",Undisclosed,Undisclosed
gate5,Nokia,2006,01-09-2006,Undisclosed amount,Undisclosed,Undisclosed
inTALK,Nokia,1999,18-02-1999,Undisclosed amount,Undisclosed,Undisclosed
Intellisync,Nokia,2006,10-02-2006,Undisclosed amount,Undisclosed,Undisclosed
Ipsilon Networks,Nokia,1997,09-12-1997,Undisclosed amount,Undisclosed,Undisclosed
Medio,Nokia,2014,12-06-2014,Undisclosed amount,Pending,Undisclosed
Mesaplexx,Nokia,2014,06-06-2014,Undisclosed amount,Complete,Undisclosed
MetaCarta,Nokia,2010,09-04-2010,Undisclosed amount,Undisclosed,Undisclosed
Motally,Nokia,2010,20-08-2010,Undisclosed amount,Undisclosed,Undisclosed
Navteq,Nokia,2008,10-07-2008,"$8,100,000,000",Undisclosed,Undisclosed
NE-Products,Nokia,1998,17-09-1998,Undisclosed amount,Undisclosed,Undisclosed
Network Alchemy,Nokia,2000,01-02-2000,Undisclosed amount,Undisclosed,Undisclosed
Nokia Solutions and Networks,Nokia,2013,07-08-2013,Undisclosed amount,Complete,Undisclosed
Novarra,Nokia,2010,26-03-2010,Undisclosed amount,Undisclosed,Undisclosed
OZ Communications,Nokia,2008,30-09-2008,Undisclosed amount,Undisclosed,Undisclosed
Pixto,Nokia,2007,01-04-2007,Undisclosed amount,Undisclosed,Undisclosed
Plazes,Nokia,2008,23-06-2008,Undisclosed amount,Undisclosed,Undisclosed
Plum,Nokia,2009,11-09-2009,Undisclosed amount,Undisclosed,Undisclosed
Ramp Networks,Nokia,2000,07-12-2000,Undisclosed amount,Undisclosed,Undisclosed
Rooftop Communications,Nokia,1999,02-09-1999,"$57,000,000",Undisclosed,"Cash, Stock"
Scalado,Nokia,2012,01-06-2012,Undisclosed amount,Undisclosed,Undisclosed
Sega,Nokia,2003,22-09-2003,Undisclosed amount,Undisclosed,Undisclosed
Smarterphone,Nokia,2012,07-01-2012,Undisclosed amount,Undisclosed,Undisclosed
Symbian Software Ltd.,Nokia,2008,24-06-2008,"$340,000,000",Undisclosed,Stock
Telekol Corporation,Nokia,1999,22-10-1999,Undisclosed amount,Undisclosed,Undisclosed
TrollTech,Nokia,2008,28-01-2008,"$153,000,000",Undisclosed,Undisclosed
Twango,Nokia,2007,01-07-2007,"$96,800,000",Undisclosed,Cash
User Interface Design,Nokia,1998,20-08-1998,Undisclosed amount,Undisclosed,Undisclosed
Vienna Systems Corporation,Nokia,1998,18-12-1998,Undisclosed amount,Undisclosed,Undisclosed
360Commerce,Oracle,2006,18-01-2006,Undisclosed amount,Undisclosed,Undisclosed
Acme Packet,Oracle,2013,04-02-2013,Undisclosed amount,Undisclosed,Undisclosed
Active Reasoning,Oracle,2007,30-09-2007,Undisclosed amount,Undisclosed,Undisclosed
AdminServer,Oracle,2008,01-05-2008,Undisclosed amount,Undisclosed,Undisclosed
Advanced Visual Technology,Oracle,2008,01-10-2008,Undisclosed amount,Undisclosed,Undisclosed
Agile Software,Oracle,2007,29-06-1905,"$495,000,000",Undisclosed,"Cash, Stock"
AmberPoint,Oracle,2010,02-07-1905,Undisclosed amount,Undisclosed,Undisclosed
ATG (Art Technology Group),Oracle,2011,05-01-2011,"$1,000,000,000",Undisclosed,Undisclosed
BEA Systems,Oracle,2008,16-01-2008,"$8,500,000,000",Undisclosed,Undisclosed
Bharosa,Oracle,2007,18-07-2007,Undisclosed amount,Undisclosed,Undisclosed
BigMachines,Oracle,2013,24-10-2013,"$400,000,000",Undisclosed,Undisclosed
Bitzer Mobile,Oracle,2013,18-11-2013,Undisclosed amount,Undisclosed,Undisclosed
BlueKai,Oracle,2014,24-02-2014,Undisclosed amount,Undisclosed,Undisclosed
Bridgestream,Oracle,2007,17-08-2007,Undisclosed amount,Undisclosed,Cash
ClearApp,Oracle,2008,02-09-2008,Undisclosed amount,Undisclosed,Undisclosed
ClearTrial,Oracle,2012,29-03-2012,Undisclosed amount,Undisclosed,Undisclosed
Collaxa,Oracle,2004,14-06-2004,Undisclosed amount,Undisclosed,Undisclosed
Collective Intellect,Oracle,2012,05-06-2012,Undisclosed amount,Undisclosed,Undisclosed
Compendium,Oracle,2013,17-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Conformia Software,Oracle,2009,17-06-2009,Undisclosed amount,Undisclosed,Undisclosed
Convergin,Oracle,2010,10-02-2010,Undisclosed amount,Undisclosed,Undisclosed
Corente,Oracle,2014,07-01-2014,Undisclosed amount,Undisclosed,Undisclosed
Datanomic,Oracle,2011,21-06-2011,Undisclosed amount,Undisclosed,Undisclosed
DataRaker,Oracle,2012,13-12-2012,Undisclosed amount,Undisclosed,Undisclosed
Demantra,Oracle,2006,01-06-2006,Undisclosed amount,Undisclosed,Undisclosed
Eloqua,Oracle,2012,20-12-2012,"$871,000,000",Undisclosed,Undisclosed
Endeca,Oracle,2011,18-10-2011,Undisclosed amount,Undisclosed,Undisclosed
Fatwire,Oracle,2011,21-06-2011,Undisclosed amount,Undisclosed,Undisclosed
G-Log,Oracle,2005,20-09-2005,Undisclosed amount,Undisclosed,Undisclosed
Global Knowledge Software,Oracle,2008,31-07-2008,Undisclosed amount,Undisclosed,Undisclosed
GoAhead Software,Oracle,2011,22-09-2011,Undisclosed amount,Undisclosed,Undisclosed
GoldenGate Software,Oracle,2009,23-07-2009,Undisclosed amount,Undisclosed,Undisclosed
GreenBytes,Oracle,2014,15-05-2014,Undisclosed amount,Complete,Undisclosed
