Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms
RightsFlow,Google,2011,09-12-2011,Undisclosed amount,Undisclosed,Undisclosed
Ruba,Google,2010,24-05-2010,Undisclosed amount,Undisclosed,Undisclosed
SageTV,Google,2011,19-06-2011,Undisclosed amount,Undisclosed,Undisclosed
SayNow,Google,2010,25-01-2010,Undisclosed amount,Undisclosed,Undisclosed
Schaft,Google,2013,02-12-2013,"$20,000,000",Undisclosed,Undisclosed
Simplify Media,Google,2010,20-05-2010,Undisclosed amount,Undisclosed,Undisclosed
Skia,Google,2005,09-11-2005,Undisclosed amount,Undisclosed,Cash
Skybox Imaging,Google,2014,10-06-2014,"$500,000,000",Pending,Undisclosed
SlickLogin,Google,2014,16-02-2014,Undisclosed amount,Undisclosed,Undisclosed
Slide,Google,2010,06-08-2010,"$182,000,000",Undisclosed,Undisclosed
SocialDeck,Google,2010,30-08-2010,Undisclosed amount,Undisclosed,Undisclosed
SocialGrapple,Google,2011,10-10-2011,Undisclosed amount,Undisclosed,Undisclosed
Songza,Google,2014,01-07-2014,Undisclosed amount,Undisclosed,Undisclosed
Sparkbuy,Google,2011,23-05-2011,Undisclosed amount,Undisclosed,Undisclosed
Sparrow,Google,2012,20-07-2012,Undisclosed amount,Undisclosed,Undisclosed
Spider.io,Google,2014,21-02-2014,Undisclosed amount,Undisclosed,Undisclosed
Sprinks,Google,2003,05-11-2003,Undisclosed amount,Undisclosed,Cash
Talaria,Google,2013,15-03-2013,Undisclosed amount,Undisclosed,Undisclosed
TalkBin,Google,2011,01-04-2011,Undisclosed amount,Undisclosed,Undisclosed
Teracent,Google,2009,23-11-2009,Undisclosed amount,Undisclosed,Cash
The Dealmap,Google,2011,01-08-2011,"$30,000,000",Undisclosed,"Cash, Stock"
Titan Aerospace,Google,2014,14-04-2014,Undisclosed amount,Undisclosed,Undisclosed
TNC,Google,2008,12-09-2008,Undisclosed amount,Undisclosed,Undisclosed
Tonic Systems,Google,2007,17-04-2007,Undisclosed amount,Undisclosed,Cash
Trendalyzer,Google,2007,16-03-2007,Undisclosed amount,Undisclosed,Cash
Twitch,Google,2014,18-05-2014,"$1,000,000,000",Complete,Cash
TxVia,Google,2012,02-04-2012,Undisclosed amount,Undisclosed,Undisclosed
Upstartle,Google,2006,09-03-2006,Undisclosed amount,Undisclosed,Cash
Urchin Software,Google,2005,29-03-2005,Undisclosed amount,Undisclosed,Cash
VirusTotal,Google,2012,07-09-2012,Undisclosed amount,Undisclosed,Undisclosed
Wavii,Google,2013,23-04-2013,Undisclosed amount,Undisclosed,Undisclosed
Waze,Google,2013,11-06-2013,"$996,000,000",Undisclosed,Undisclosed
Where2,Google,2004,09-10-2004,Undisclosed amount,Undisclosed,Cash
Widevine Technologies,Google,2010,16-12-2010,"$160,000,000",Undisclosed,Cash
Wildfire,Google,2012,31-07-2012,"$350,000,000",Undisclosed,Undisclosed
WIMM Labs,Google,2013,01-09-2013,Undisclosed amount,Undisclosed,Undisclosed
YouTube,Google,2006,01-10-2006,"$1,700,000,000",Undisclosed,Stock
Zagat,Google,2011,26-10-2011,"$151,000,000",Undisclosed,Cash
Zave Networks,Google,2011,02-09-2011,Undisclosed amount,Undisclosed,Undisclosed
Zenter,Google,2007,01-06-2007,Undisclosed amount,Undisclosed,Undisclosed
Zetawire,Google,2010,13-08-2010,Undisclosed amount,Undisclosed,Undisclosed
Zingku,Google,2007,27-09-2007,Undisclosed amount,Undisclosed,Cash
ZipDash,Google,2004,10-09-2004,Undisclosed amount,Undisclosed,Cash
zynamics,Google,2011,01-03-2011,Undisclosed amount,Undisclosed,Undisclosed
Zync Render,Google,2014,26-08-2014,Undisclosed amount,Pending,Undisclosed
VeriFone,Gores Technology Group,2001,01-05-2001,Undisclosed amount,Undisclosed,Undisclosed
DoubleClick,Hellman & Friedman,2005,13-07-2005,"$1,100,000,000",Undisclosed,Cash
Medio,HERE,2014,12-06-2014,Undisclosed amount,Complete,Undisclosed
3Com,HP,2009,11-11-2009,"$2,700,000,000",Undisclosed,Cash
3PAR,HP,2010,02-09-2010,"$2,400,000,000",Undisclosed,Undisclosed
ABB CADE,HP,1991,31-12-1991,Undisclosed amount,Undisclosed,Undisclosed
Apollo Computer,HP,1989,13-04-1989,Undisclosed amount,Undisclosed,Undisclosed
